Listing...
libgnutls30t64/noble-security 3.8.3-1.1ubuntu3.5 amd64 [upgradable from: 3.8.3-1.1ubuntu3.3]
libgnutls30t64/noble-security 3.8.3-1.1ubuntu3.5 i386 [upgradable from: 3.8.3-1.1ubuntu3.3]
libgomp1/noble-security 14.2.0-4ubuntu2~24.04.1 amd64 [upgradable from: 14.2.0-4ubuntu2~24.04]
libgomp1/noble-security 14.2.0-4ubuntu2~24.04.1 i386 [upgradable from: 14.2.0-4ubuntu2~24.04]
libgprofng0/noble-updates,noble-security 2.42-4ubuntu2.8 amd64 [upgradable from: 2.42-4ubuntu2.5]
libgs-common/noble-updates,noble-updates,noble-security,noble-security 10.02.1~dfsg1-0ubuntu7.8 all [upgradable from: 10.02.1~dfsg1-0ubuntu7.7]
libgs10-common/noble-updates,noble-updates,noble-security,noble-security 10.02.1~dfsg1-0ubuntu7.8 all [upgradable from: 10.02.1~dfsg1-0ubuntu7.7]
libgs10/noble-updates,noble-security 10.02.1~dfsg1-0ubuntu7.8 amd64 [upgradable from: 10.02.1~dfsg1-0ubuntu7.7]
libgstreamer-gl1.0-0/noble-updates,noble-security 1.24.2-1ubuntu0.3 amd64 [upgradable from: 1.24.2-1ubuntu0.2]
libgstreamer-plugins-base1.0-0/noble-updates,noble-security 1.24.2-1ubuntu0.3 amd64 [upgradable from: 1.24.2-1ubuntu0.2]
libgstreamer-plugins-base1.0-0/noble-updates,noble-security 1.24.2-1ubuntu0.3 i386 [upgradable from: 1.24.2-1ubuntu0.2]
libgstreamer-plugins-good1.0-0/noble-updates,noble-security 1.24.2-1ubuntu1.2 amd64 [upgradable from: 1.24.2-1ubuntu1.1]
libgtk-4-1/noble-updates 4.14.5+ds-0ubuntu0.7 amd64 [upgradable from: 4.14.2+ds-1ubuntu3]
libgtk-4-common/noble-updates,noble-updates 4.14.5+ds-0ubuntu0.7 all [upgradable from: 4.14.2+ds-1ubuntu3]
libgtop-2.0-11/noble-updates 2.41.3-1ubuntu0.24.04.1 amd64 [upgradable from: 2.41.3-1build4]
libgtop2-common/noble-updates,noble-updates 2.41.3-1ubuntu0.24.04.1 all [upgradable from: 2.41.3-1build4]
libheif-plugin-aomdec/noble-updates,noble-security 1.17.6-1ubuntu4.2 amd64 [upgradable from: 1.17.6-1ubuntu4.1]
libheif-plugin-aomdec/noble-updates,noble-security 1.17.6-1ubuntu4.2 i386 [upgradable from: 1.17.6-1ubuntu4.1]
